Zipcode,Place Name,State,County,Lat,Lon,
44 39819,Bainbridge,GA,Decatur,30.9039,-84.56,
43 98614,Chinook,WA,Pacific,46.2729,-123.945,
40 59729,Ennis,MT,Madison,45.3545,-111.68,
40 31033,Haddock,GA,Jones,33.0519,-83.431,
39 25630,Lorado,WV,Logan,37.7957,-81.714,
39 42206,Auburn,KY,Logan,36.8818,-86.719,
47 54701,Eau Claire,WI,Eau Claire,44.784,-91.487,
47 40729,East Bernstadt,KY,Laurel,37.2488,-84.13,
45 33637,Tampa,FL,Hillsborough,28.0338,-82.365,
44 78257,San Antonio,TX,Bexar,29.6495,-98.613,
45 99155,Nespelem,WA,Okanogan,48.1434,-119.009,
40 34264,Oneco,FL,Manatee,27.4475,-82.546,
47 65261,Keytesville,MO,Chariton,39.4794,-92.930,
42 38820,Algoma,MS,Pontotoc,34.1715,-89.032,
44 17748,Mc Elhattan,PA,Clinton,41.1355,-77.3,
48 45327,Germantown,OH,Montgomery,39.6244,-84.376,
43 61801,Urbana,IL,Champaign,40.1095,-88.203,
44 59253,Peerless,MT,Daniels,48.7808,-105.800,
43 59732,Glen,MT,Beaverhead,45.4766,-112.690,
44 12770,Pond Eddy,NY,Sullivan,41.4511,-74.84,
46 70166,New Orleans,LA,Orleans,29.9546,-90.075,
42 62985,Simpson,IL,Johnson,37.4673,-88.755,
45 32277,Jacksonville,FL,Duval,30.3704,-81.586,
49 80807,Burlington,CO,Kit Carson,39.3106,-102.258,
45 50478,Thompson,IA,Winnebago,43.3875,-93.751,
46 74051,Ochelata,OK,Washington,36.5947,-95.969,
42 85281,Tempe,AZ,Maricopa,33.4227,-111.926,
41 98433,Tacoma,WA,Pierce,47.1125,-122.589,
39 71447,Lena,LA,Rapides,31.4207,-92.831,
42 26285,Norton,WV,Randolph,38.9318,-79.965,
40 97308,Salem,OR,Marion,44.9429,-123.035,
38 30081,Smyrna,GA,Cobb,33.8588,-84.710,
41 63441,Frankford,MO,Pike,39.4892,-91.303,
40 34101,Naples,FL,Collier,26.1423,-81.79,
39 8650,Trenton,NJ,Mercer,40.2805,-74.71,
40 55318,Chaska,MN,Carver,44.8061,-93.608,
48 31062,Milledgeville,GA,Baldwin,33.0491,-83.217,
46 20814,Bethesda,MD,Montgomery,39.0003,-77.102,
46 12920,Chateaugay,NY,Franklin,44.9088,-74.074,
46 72469,Strawberry,AR,Lawrence,35.9673,-91.293,
48 84304,Cache Junction,UT,Cache,41.8169,-111.998,
45 79336,Levelland,TX,Hockley,33.5788,-102.367,
45 27207,Bear Creek,NC,Chatham,35.6129,-79.372,
44 80402,Golden,CO,Jefferson,39.7555,-105.221,
44 79316,Brownfield,TX,Terry,33.1698,-102.276,
